ACCOUNTSNAME,GENDER,ADDRESS1,ADDRESS2,ADDRESS3,COMMONNAME,STATE NAME,CELL NO,PHONE,FAX,EMAIL,BRAND / STORE NAME,BDAY,ANIVERSARY,ACCOUNTSIDNAME,ACCOUNTSTYPE
Paul Nguyen,FEMALE,67/6L,PHAM VAN CHIEU,GO VAP,Ho ChiMinh City,NULL,988804449,,,neverdie0203@gmail.com,LEVIS DIAMOND,9/1/80 0:00,NULL,1BE600D9,4
Nathan Tran,MALE,,,,Ho ChiMinh City,NULL,979447777,,,vanganh.tech@gmail.com,LEVIS DIAMOND,7/24/83 0:00,NULL,RT1368SR,4
Teaser Man,FEMALE,67/6L,PHAM VAN CHIEU,GO VAP,Ho ChiMinh City,NULL,970091105,,,neverdie0203@gmail.com,LEVIS DIAMOND,6/14/86 0:00,NULL,1BE600D10,4
Fat Buddy,MALE,,,,Ho ChiMinh City,NULL,960734433,,,vanganh.tech@gmail.com,LEVIS DIAMOND,5/5/89 0:00,NULL,RT1368SR,4
Bingle challenging,FEMALE,67/6L,PHAM VAN CHIEU,GO VAP,Ho ChiMinh City,NULL,951377761,,,neverdie0203@gmail.com,LEVIS DIAMOND,3/26/92 0:00,NULL,1BE600D11,4
Diggest at all,MALE,,,,Ho ChiMinh City,NULL,942021089,,,vanganh.tech@gmail.com,LEVIS DIAMOND,2/15/95 0:00,NULL,RT1368SR,4
Flamenco Doss,FEMALE,67/6L,PHAM VAN CHIEU,GO VAP,Ho ChiMinh City,NULL,932664417,,,neverdie0203@gmail.com,LEVIS DIAMOND,1/6/98 0:00,NULL,1BE600D12,4
Paulus,MALE,,,,Ho ChiMinh City,NULL,923307745,,,vanganh.tech@gmail.com,LEVIS DIAMOND,11/27/00 0:00,NULL,RT1368SR,4
Banging Kisk,FEMALE,67/6L,PHAM VAN CHIEU,GO VAP,Ho ChiMinh City,NULL,913951073,,,neverdie0203@gmail.com,LEVIS DIAMOND,10/19/03 0:00,NULL,1BE600D13,4
le thi ngoc mai,MALE,,,,Ho ChiMinh City,NULL,904594401,,,vanganh.tech@gmail.com,LEVIS DIAMOND,9/9/06 0:00,NULL,RT1368SR,4
